threshold,far,frr,fpr,tpr
0.007017919793725014,0.0,0.9999341238471673,0.0,6.58761528327112e-05
0.007688339743735255,0.0,0.9997364953886693,0.0,0.0002635046113307338
0.008358759693745495,0.0,0.9992094861660079,0.0,0.0007905138339920903
0.009029179643755738,0.0,0.9982872200263505,0.0,0.001712779973649492
0.009699599593765977,0.0,0.9971014492753624,0.0,0.0028985507246376274
0.01037001954377622,0.0,0.9957839262187088,0.0,0.004216073781291185
0.01104043949378646,0.0,0.9928853754940712,0.0,0.007114624505928813
0.011710859443796701,0.0,0.9902503293807642,0.0,0.009749670619235817
0.012381279393806942,0.0,0.9863636363636363,0.0,0.013636363636363669
0.013051699343817183,0.0,0.981159420289855,0.0,0.018840579710144967
0.013722119293827424,0.0,0.9762187088274045,0.0,0.02378129117259553
0.014392539243837665,2.3443360840210053e-05,0.9689064558629776,2.3443360840210053e-05,0.031093544137022366
0.015062959193847907,2.3443360840210053e-05,0.9606060606060606,2.3443360840210053e-05,0.039393939393939426
0.015733379143858146,2.3443360840210053e-05,0.9518445322793149,2.3443360840210053e-05,0.04815546772068513
0.01640379909386839,2.3443360840210053e-05,0.9422266139657444,2.3443360840210053e-05,0.057773386034255636
0.01707421904387863,4.6886721680420107e-05,0.9313570487483531,4.6886721680420107e-05,0.06864295125164688
0.01774463899388887,7.033008252063015e-05,0.9204874835309618,7.033008252063015e-05,0.07951251646903823
0.01841505894389911,0.00011721680420105026,0.9075098814229249,0.00011721680420105026,0.09249011857707512
0.019085478893909352,0.00016410352588147037,0.8933465085638999,0.00016410352588147037,0.10665349143610015
0.019755898843919595,0.0003047636909227307,0.8797760210803689,0.0003047636909227307,0.1202239789196311
0.020426318793929834,0.0003985371342835709,0.8663372859025033,0.0003985371342835709,0.13366271409749675
0.021096738743940077,0.0005391972993248312,0.8523715415019762,0.0005391972993248312,0.14762845849802375
0.021767158693950316,0.0007501875468867217,0.8383399209486166,0.0007501875468867217,0.16166007905138335
0.022437578643960558,0.0009142910727681921,0.82266139657444,0.0009142910727681921,0.17733860342555996
0.0231079985939708,0.0011018379594898724,0.8057971014492754,0.0011018379594898724,0.1942028985507246
0.02377841854398104,0.0014769317329332333,0.7893280632411067,0.0014769317329332333,0.21067193675889329
0.024448838493991282,0.0016879219804951237,0.7716073781291173,0.0016879219804951237,0.22839262187088272
0.02511925844400152,0.0019457989497374344,0.755467720685112,0.0019457989497374344,0.24453227931488797
0.025789678394011764,0.002367779444861215,0.7391963109354414,0.002367779444861215,0.26080368906455864
0.026460098344022003,0.002672543135783946,0.7229249011857708,0.002672543135783946,0.2770750988142292
0.027130518294032246,0.0030945236309077267,0.7086956521739131,0.0030945236309077267,0.29130434782608694
0.027800938244042485,0.0037274943735933984,0.6934123847167325,0.0037274943735933984,0.3065876152832675
0.028471358194052727,0.00438390847711928,0.6767457180500659,0.00438390847711928,0.3232542819499341
0.02914177814406297,0.0048527756939234805,0.6612648221343873,0.0048527756939234805,0.3387351778656127
0.02981219809407321,0.005696736684171043,0.6442028985507247,0.005696736684171043,0.35579710144927534
0.03048261804408345,0.006212490622655664,0.6273386034255599,0.006212490622655664,0.3726613965744401
0.03115303799409369,0.006892348087021756,0.6109354413702239,0.006892348087021756,0.38906455862977607
0.03182345794410393,0.007712865716429107,0.5950592885375494,0.007712865716429107,0.4049407114624506
0.032493877894114176,0.008533383345836459,0.5811594202898551,0.008533383345836459,0.4188405797101449
0.03316429784412442,0.009541447861965492,0.5656785243741765,0.009541447861965492,0.43432147562582346
0.033834717794134654,0.010385408852213054,0.5516469038208168,0.010385408852213054,0.4483530961791832
0.0345051377441449,0.010948049512378094,0.5378787878787878,0.010948049512378094,0.46212121212121215
0.03517555769415514,0.012003000750187547,0.5227931488801054,0.012003000750187547,0.4772068511198946
0.035845977644165375,0.012800075018754688,0.5104743083003953,0.012800075018754688,0.4895256916996047
0.03651639759417562,0.01364403600900225,0.4966403162055336,0.01364403600900225,0.5033596837944664
0.03718681754418586,0.014839647411852962,0.48353096179183136,0.014839647411852962,0.5164690382081687
0.0378572374941961,0.015800825206301574,0.46989459815546775,0.015800825206301574,0.5301054018445323
0.038527657444206345,0.017043323330832708,0.4549407114624506,0.017043323330832708,0.5450592885375494
0.03919807739421659,0.01852025506376594,0.4418313570487484,0.01852025506376594,0.5581686429512516
0.03986849734422682,0.019481432858214555,0.43069828722002634,0.019481432858214555,0.5693017127799737
0.040538917294237066,0.020583270817704426,0.4186429512516469,0.020583270817704426,0.581357048748353
0.04120933724424731,0.02182576894223556,0.4059947299077734,0.02182576894223556,0.5940052700922266
0.04187975719425755,0.023138597149287322,0.3922266139657444,0.023138597149287322,0.6077733860342556
0.04255017714426779,0.024427981995498876,0.38181818181818183,0.024427981995498876,0.6181818181818182
0.04322059709427803,0.02581114028507127,0.3705533596837945,0.02581114028507127,0.6294466403162056
0.04389101704428827,0.02698330832708177,0.3608036890645586,0.02698330832708177,0.6391963109354414
0.044561436994298514,0.028155476369092273,0.34960474308300393,0.028155476369092273,0.6503952569169961
0.04523185694430876,0.030007501875468866,0.33945981554677207,0.030007501875468866,0.6605401844532279
0.04590227689431899,0.03146099024756189,0.3295783926218709,0.03146099024756189,0.6704216073781291
0.046572696844329235,0.032937921980495125,0.32042160737812914,0.032937921980495125,0.6795783926218708
0.04724311679433948,0.034321080270067514,0.31179183135704874,0.034321080270067514,0.6882081686429513
0.04791353674434972,0.03572768192048012,0.3011857707509881,0.03572768192048012,0.6988142292490118
0.048583956694359956,0.037274943735933985,0.29347826086956524,0.037274943735933985,0.7065217391304348
0.0492543766443702,0.03886909227306827,0.286034255599473,0.03886909227306827,0.713965744400527
0.04992479659438044,0.04013503375843961,0.27832674571805005,0.04013503375843961,0.72167325428195
0.050595216544390684,0.041635408852213056,0.27009222661396576,0.041635408852213056,0.7299077733860342
0.051265636494400926,0.04365153788447112,0.2616600790513834,0.04365153788447112,0.7383399209486166
0.05193605644441116,0.04498780945236309,0.25461133069828723,0.04498780945236309,0.7453886693017128
0.052606476394421404,0.04667573143285821,0.24624505928853754,0.04667573143285821,0.7537549407114624
0.05327689634443165,0.048480870217554387,0.238866930171278,0.048480870217554387,0.761133069828722
0.05394731629444189,0.04986402850712678,0.23175230566534916,0.04986402850712678,0.7682476943346508
0.054617736244452125,0.0513175168792198,0.22529644268774704,0.0513175168792198,0.7747035573122529
0.05528815619446237,0.053028882220555136,0.21844532279314888,0.053028882220555136,0.7815546772068511
0.05595857614447261,0.05455270067516879,0.2116600790513834,0.05455270067516879,0.7883399209486166
0.05662899609448285,0.05593585896474119,0.20559947299077733,0.05593585896474119,0.7944005270092227
