threshold,far,frr,fpr,tpr
0.007377953734248877,0.0,0.9996706192358367,0.0,0.00032938076416333395
0.008019363833288511,0.0,0.9996706192358367,0.0,0.00032938076416333395
0.008660773932328145,0.0,0.9993412384716732,0.0,0.0006587615283267789
0.00930218403136778,0.0,0.9993412384716732,0.0,0.0006587615283267789
0.009943594130407414,0.0,0.9986824769433466,0.0,0.0013175230566534468
0.010585004229447047,0.00011768859597505002,0.9980237154150198,0.00011768859597505002,0.0019762845849802257
0.011226414328486681,0.00011768859597505002,0.9970355731225297,0.00011768859597505002,0.0029644268774703386
0.011867824427526315,0.00011768859597505002,0.9960474308300395,0.00011768859597505002,0.0039525691699604515
0.01250923452656595,0.00011768859597505002,0.9950592885375494,0.00011768859597505002,0.004940711462450564
0.013150644625605584,0.00011768859597505002,0.9920948616600791,0.00011768859597505002,0.007905138339920903
0.013792054724645219,0.00011768859597505002,0.9891304347826086,0.00011768859597505002,0.010869565217391353
0.014433464823684853,0.00011768859597505002,0.9851778656126482,0.00011768859597505002,0.014822134387351804
0.015074874922724486,0.00011768859597505002,0.9802371541501976,0.00011768859597505002,0.01976284584980237
0.01571628502176412,0.00023537719195010004,0.9733201581027668,0.00023537719195010004,0.02667984189723316
0.016357695120803754,0.00023537719195010004,0.9693675889328063,0.00023537719195010004,0.03063241106719372
0.016999105219843387,0.00023537719195010004,0.9614624505928854,0.00023537719195010004,0.038537549407114624
0.017640515318883023,0.0004707543839002001,0.9542160737812911,0.0004707543839002001,0.04578392621870886
0.01828192541792266,0.0004707543839002001,0.9453227931488801,0.0004707543839002001,0.054677206851119875
0.018923335516962292,0.0004707543839002001,0.936429512516469,0.0004707543839002001,0.063570487483531
0.019564745616001925,0.0005884429798752501,0.9272068511198946,0.0005884429798752501,0.07279314888010535
0.02020615571504156,0.0005884429798752501,0.9166666666666666,0.0005884429798752501,0.08333333333333337
0.020847565814081193,0.0007061315758503001,0.9077733860342556,0.0007061315758503001,0.09222661396574439
0.02148897591312083,0.0007061315758503001,0.8998682476943346,0.0007061315758503001,0.1001317523056654
0.022130386012160462,0.0009415087678004002,0.8909749670619236,0.0009415087678004002,0.10902503293807642
0.022771796111200095,0.00105919736377545,0.8801054018445322,0.00105919736377545,0.11989459815546777
0.02341320621023973,0.00105919736377545,0.8679183135704874,0.00105919736377545,0.13208168642951257
0.024054616309279363,0.00105919736377545,0.8554018445322793,0.00105919736377545,0.1445981554677207
0.024696026408319,0.0011768859597505001,0.8415678524374176,0.0011768859597505001,0.1584321475625824
0.025337436507358632,0.0011768859597505001,0.827733860342556,0.0011768859597505001,0.17226613965744397
0.02597884660639827,0.0016476403436507003,0.8142292490118577,0.0016476403436507003,0.18577075098814233
0.0266202567054379,0.0017653289396257503,0.8023715415019763,0.0017653289396257503,0.19762845849802368
0.027261666804477537,0.0017653289396257503,0.7924901185770751,0.0017653289396257503,0.20750988142292492
0.02790307690351717,0.0021183947275509,0.7835968379446641,0.0021183947275509,0.21640316205533594
0.028544487002556802,0.00223608332352595,0.7710803689064558,0.00223608332352595,0.22891963109354418
0.02918589710159644,0.0023537719195010002,0.7565876152832675,0.0023537719195010002,0.24341238471673254
0.02982730720063607,0.0023537719195010002,0.7401185770750988,0.0023537719195010002,0.25988142292490124
0.030468717299675707,0.0029422148993762504,0.7236495388669302,0.0029422148993762504,0.2763504611330698
0.03111012739871534,0.0029422148993762504,0.7117918313570487,0.0029422148993762504,0.2882081686429513
0.03175153749775497,0.0030599034953513004,0.6992753623188406,0.0030599034953513004,0.3007246376811594
0.032392947596794605,0.0034129692832764505,0.686429512516469,0.0034129692832764505,0.313570487483531
0.033034357695834245,0.00411910085912675,0.6739130434782609,0.00411910085912675,0.32608695652173914
0.03367576779487388,0.00435447805107685,0.6646903820816864,0.00435447805107685,0.3353096179183136
0.03431717789391351,0.0044721666470519,0.6515151515151515,0.0044721666470519,0.3484848484848485
0.03495858799295315,0.0049429210309521006,0.6396574440052701,0.0049429210309521006,0.36034255599472986
0.03559999809199278,0.005649052606802401,0.6258234519104084,0.005649052606802401,0.37417654808959155
0.036241408191032415,0.005884429798752501,0.613965744400527,0.005884429798752501,0.386034255599473
0.03688281829007205,0.006355184182652701,0.6030961791831357,0.006355184182652701,0.39690382081686426
0.03752422838911168,0.007414381546428151,0.5879446640316206,0.007414381546428151,0.4120553359683794
0.03816563848815131,0.007649758738378251,0.5754281949934124,0.007649758738378251,0.42457180500658764
